"truesurface","",""
9.60202614296619,9.9846729196062,9.98465544517588
10.3973322013091,9.98243588390003,9.97940012555947
9.64272269356266,9.98028194947349,9.97234764274532
10.1106765408937,9.9776219673453,9.96192691292621
9.63115746384478,9.97151292862285,9.94678988730649
8.74095095562204,9.96360216034829,9.9288518969496
7.83411719844731,9.95434810107811,9.90925279185998
9.53291555838288,9.94521200321578,9.89329109548495
9.86359301601221,9.94668298000534,9.89371750330158
11.4688742842798,9.95310274233275,9.90307650890096
9.5986857752546,9.96001608220615,9.91573086742266
7.24641447164524,9.9650359279569,9.92539439156328
8.50741660656398,9.97109100781352,9.9308344060579
9.44848597415111,9.9699647351532,9.92409069635011
10.1318862445301,9.95952405908553,9.90548476946363
9.28877440601565,9.90318726776238,9.83973980352156
8.18949453154482,9.65277713291033,9.64658543480738
9.82679992846676,8.64311135919076,9.11383146538386
8.27667164132865,8.24945033757993,8.7947885040983
10.7386495974423,9.41673600995147,9.26707854213395
9.32921384591489,9.75803613941117,9.67060031231378
9.80466897948947,9.8896445121395,9.83792969291126
9.56111569147791,9.91881024110046,9.89443337948604
11.3094918425639,9.86821806534004,9.85641770447948
9.23587793354697,9.65039005267254,9.67991519117374
9.79849976167732,9.68019828343488,9.71645198287826
10.0236688778801,9.88999609020454,9.91680332052016
10.6126212821235,9.9531787352018,9.99902659296595
9.64702559160049,9.96499756117107,10.0185131329842
9.96096213728945,9.95288670033636,10.0013224489296
9.19838592060038,9.9035994866128,9.93886044327619
10.5502571972717,9.84124432880726,9.87297008397499
9.65667188599639,9.84882511766124,9.88980249320346
9.26857709209149,10.0130963911335,10.0721314371386
11.0034053422935,10.1168743885959,10.2036728261794
9.95466046104666,10.1221420410388,10.2426760476452
8.51776206848793,10.1168398496069,10.2684752840145
8.23192871461984,10.2055276841856,10.3710456081502
11.6544866548045,10.4253157434413,10.5639432528022
10.6040525310723,10.4017779960368,10.5303685512509
9.73173221244654,9.98319681481833,9.98323488952144
10.9741414199534,9.98012252082675,9.97629735320103
9.96269736957374,9.97698189434769,9.96620376513437
11.6437915163785,9.9704689077337,9.95068170528653
9.25398521099271,9.95965892890687,9.9260750829463
8.47319716773156,9.93805272281711,9.88758759541212
9.17593541346225,9.91719644934227,9.85314063855336
8.83730773120869,9.88827212576767,9.81645590364281
9.10556474023906,9.88763420229765,9.81659499903655
9.77272932271216,9.91006109304491,9.84617039158587
8.08642921135003,9.92884277870701,9.87521162065604
10.3408646153237,9.94894854570336,9.90278231720564
10.8587545433288,9.96385953277141,9.9193917836355
10.3589189608584,9.97304492385027,9.92783197391292
10.7937872717406,9.97683389257245,9.92887860958707
9.53408256170071,9.98218604191141,9.93150658008075
9.10799120755058,9.90795588097773,9.85210876794385
10.3409311595217,9.54316784180034,9.52024725241678
8.6087159422911,9.13545013914508,9.14610945415231
8.87634391023578,9.46505487202227,9.30018470013993
9.58486915906299,9.75510965092717,9.670067695254
9.90348568626256,9.88149064900218,9.84089909583072
10.0567900644225,9.93908893151213,9.9303298419126
10.4649789286384,9.88402992727061,9.89113841164234
11.1038586210466,9.72486179781972,9.76489463585207
9.61021817068286,9.72450154519479,9.78102384307739
8.8280668170838,9.91879800670858,9.96756309002372
