"","mse1","mse2","mse3","mse4"
"1",4.41335988104472,4.43855871044985,5.62936768215109,5.76638920485667
"2",4.66794064803513,3.57122139914308,5.77729246236517,3.81062653986306
"3",4.616598213711,3.99009452874367,5.53581194958107,4.13577145602128
"4",4.38102122782522,3.7825535991888,5.70838269935936,3.79031647239848
"5",4.920573992268,4.21187677807994,5.75612971758881,4.53104001025439
"6",4.29274636525727,4.21165914648778,5.52967033341474,4.21711971268358
