"truesurface","",""
7.79832960708431,7.93784316776116,8.16946694815929
8.07014401112461,8.0274797863302,8.1747168687025
8.36693399855006,8.12636958905016,8.17891458805821
8.50593055201517,8.19324171997299,8.18376478311159
8.54691440670553,8.22495405051768,8.27334035319825
8.37492975852372,8.24301175434097,8.28350748878456
8.20339652699905,8.35902736581783,8.29318062211572
8.38929566627611,8.56878958797218,8.30212284369093
8.70090683843975,8.80081740270214,8.72451916019585
8.88071772635376,8.92290488146952,8.73258447120003
8.79037218628951,8.89588915773049,8.7404129138607
8.58899327100006,8.73245846540328,8.74806702391525
8.41361627451428,8.5638031402804,8.38385470624457
8.22365978645158,8.49463106143648,8.39131802085631
8.33164994974423,8.56554483143615,8.3987450800294
8.60112370404809,8.77960934498966,8.40609818871439
9.00153530467074,9.05612289749212,9.03007575254492
9.22951412231356,9.29182974486599,9.03730853866807
9.51686683760158,9.44914310315098,9.04447222010767
9.50084617705743,9.49909730627887,9.05155023960264
9.19562365892714,9.47789163746561,9.24313044477896
9.12322597962321,9.4233773051894,9.2502226801799
9.31813367225051,9.36086555595066,9.2579985258184
9.37456256492599,9.31346862711781,9.27024610164183
9.2385054299437,9.26971539316959,9.29115613102593
9.16466989548645,9.23685744701238,9.28877905231339
9.12522124339593,9.23691656906516,9.29419862169648
9.0830025014023,9.29411919091148,9.30186746546555
9.17454785104929,9.40002873983618,9.83085627703893
9.50231250025095,9.5264963090016,9.83875729937056
9.65686220912269,9.66953424420016,9.8465753373224
9.76585130629667,9.7946456937167,9.85432241762848
9.87744737258638,9.89363759307283,10.3692423713222
9.91163259782486,9.95554828889815,10.3768616549878
9.73604904484813,9.97322647110647,10.384467012053
9.57747573957027,9.94276559059789,10.3920179193479
9.68603140164097,9.87590268780963,10.1299453161662
9.8414745457723,9.79739957522576,10.1374610589061
9.90779084854426,9.72635845284633,10.1449534843003
9.9451318349294,9.6822953351426,10.1524239391868
7.86869822078778,7.93875316379235,8.16937883067174
8.0504997038899,8.02354048245058,8.17384258994701
8.24894895697747,8.12095789576284,8.17630603977104
