"MSE","Model"
"2.89972090292805","Meld"
"3.47134472334505","Meld"
"3.48214559638793","Meld"
"3.99678053312601","Meld"
"3.33381654921727","Meld"
"3.36068484280237","Meld"
"2.78623221870985","Meld"
"2.70642053303404","Meld"
"2.2490870088502","Meld"
"2.41925054390317","Meld"
"2.63012933016791","Meld"
"3.46170852486664","Meld"
"2.00817436395976","Meld"
"3.18312790405159","Meld"
"3.37655488963225","Meld"
"2.21087045364545","Meld"
"2.93897169192197","Meld"
"2.56855347582633","Meld"
"2.5696293041572","Meld"
"2.39930018049107","Meld"
"1.94765990599836","Meld"
"2.17842248396023","Meld"
"2.79663041298626","Meld"
"2.42797380717119","Meld"
"2.07890915075438","Meld"
"4.032561973474","Meld"
"2.6787413084899","Meld"
"1.65358309718566","Meld"
"2.49186916931069","Meld"
"2.64598576567789","Meld"
"2.03206770579817","Meld"
"1.7499706227067","Meld"
"2.76802583234351","Meld"
"2.04776607925313","Meld"
"2.62618179228903","Meld"
"2.33146700142639","Meld"
"3.98219079811633","Meld"
"2.09556985656841","Meld"
"2.15061496998916","Meld"
"2.84538303922891","Meld"
"1.72840281755726","Meld"
"2.17651113018067","Meld"
"2.467279541995","Meld"
"2.60681717842267","Meld"
"2.33437546206871","Meld"
"3.18178032235778","Meld"
"2.19704173983831","Meld"
"3.72569580396107","Meld"
"3.19415768175246","Meld"
"2.90267984084746","Meld"
"2.55393796393677","Meld"
"2.98128328701775","Meld"
"2.58461453387618","Meld"
"1.65706871697863","Meld"
"3.12661176797971","Meld"
"3.77016609695022","Meld"
"4.28079645910816","Meld"
"2.06676596591188","Meld"
"2.34098470055926","Meld"
"2.33817925647217","Meld"
"3.03035865950334","Meld"
"2.5074587601299","Meld"
"2.48475227933739","Meld"
"2.20992008149158","Meld"
"1.86534696532998","Meld"
"2.71961389625863","Meld"
"5.52508443230377","Meld"
"2.21085710095897","Meld"
"2.66568970690531","Meld"
"1.78617827398782","Meld"
"2.97088012594191","Meld"
"2.74000099950008","Meld"
"2.35407015595403","Meld"
"2.63614416225909","Meld"
"3.08509037283986","Meld"
"3.12027400456905","Meld"
"2.26107754508967","Meld"
"2.04656288633074","Meld"
"2.37827282927504","Meld"
"3.21965415950336","Meld"
"1.69828710648355","Meld"
"2.84816053567853","Meld"
"2.07293781669847","Meld"
"3.08133287903702","Meld"
"2.67819160970089","Meld"
"2.25540759269333","Meld"
"3.18114267803419","Meld"
"3.15252076771204","Meld"
"1.98852309571065","Meld"
"2.53604196695722","Meld"
"1.87194234716741","Meld"
"3.00290592002064","Meld"
"2.59900565115584","Meld"
"3.24220333574902","Meld"
"1.8556259393463","Meld"
"2.46669038971535","Meld"
"2.30724505169989","Meld"
"2.19913876330444","Meld"
"3.42131514101695","Meld"
"3.2283373479006","Meld"
"5.7475100421302","Downscaler"
"8.60627243149218","Downscaler"
"7.26267389460477","Downscaler"
"8.98902975352976","Downscaler"
"11.1154692899788","Downscaler"
"5.37280898350775","Downscaler"
"5.05526516633054","Downscaler"
"11.5006485827958","Downscaler"
"25.5818212543845","Downscaler"
"6.63509425961266","Downscaler"
"14.2708738654159","Downscaler"
"3.82656038487719","Downscaler"
"7.12670128982289","Downscaler"
"11.3639758869371","Downscaler"
"8.29185834264122","Downscaler"
"2.75030841558248","Downscaler"
"6.52625037657779","Downscaler"
"4.72207576478621","Downscaler"
"3.90282918123114","Downscaler"
"4.06506932066819","Downscaler"
"3.67952846535736","Downscaler"
"4.15863854760032","Downscaler"
"4.16234395749704","Downscaler"
"5.84007968729228","Downscaler"
"5.81473551190984","Downscaler"
"15.3763290962649","Downscaler"
"6.63792451265981","Downscaler"
"2.33471152279584","Downscaler"
"6.4944856596494","Downscaler"
"4.1712540866182","Downscaler"
"6.3353395942947","Downscaler"
"5.51508624929218","Downscaler"
"6.7012069982249","Downscaler"
"4.90221567827132","Downscaler"
"3.2358969351006","Downscaler"
"4.60606352148221","Downscaler"
"10.9543737235453","Downscaler"
"7.39005367448841","Downscaler"
"4.82664051516964","Downscaler"
"4.53977950826526","Downscaler"
"2.28681267986876","Downscaler"
"4.00620262142022","Downscaler"
"3.1057772007505","Downscaler"
"4.53857281628965","Downscaler"
"4.3366735350712","Downscaler"
"5.65929408396018","Downscaler"
"5.08847245925811","Downscaler"
"6.60998366440564","Downscaler"
"6.27758659502671","Downscaler"
"4.34118298366553","Downscaler"
"2.94746645333022","Downscaler"
"4.08832924252273","Downscaler"
"4.19016740697662","Downscaler"
"7.18579936951317","Downscaler"
"8.96340698358603","Downscaler"
"3.98230343949818","Downscaler"
"10.0600939743601","Downscaler"
"7.05037645772613","Downscaler"
"11.5864737576232","Downscaler"
"5.57415725273452","Downscaler"
"5.51222554509846","Downscaler"
"4.03453226911177","Downscaler"
"2.54699949522654","Downscaler"
"3.53586622441941","Downscaler"
"7.1830579116327","Downscaler"
"6.46215566177931","Downscaler"
"11.0154530549907","Downscaler"
"6.31396435887961","Downscaler"
"4.16537461888875","Downscaler"
"2.97600327469731","Downscaler"
"8.93377164607938","Downscaler"
"6.93004336867705","Downscaler"
"4.78377082318504","Downscaler"
"3.57788583129067","Downscaler"
"10.286236961059","Downscaler"
"4.59607010627383","Downscaler"
"6.52064494685263","Downscaler"
"2.96661947276575","Downscaler"
"5.52732858910417","Downscaler"
"4.61581769680719","Downscaler"
"8.08423811368499","Downscaler"
"5.62387018267164","Downscaler"
"3.54570039114649","Downscaler"
"7.54816929539937","Downscaler"
"6.41104702660495","Downscaler"
"4.54338404293488","Downscaler"
"8.28000048522863","Downscaler"
"11.754283956255","Downscaler"
"6.55651065223755","Downscaler"
"4.47042059685093","Downscaler"
"2.22899575660974","Downscaler"
"4.33274608948525","Downscaler"
"6.96314891257157","Downscaler"
"7.08634886522014","Downscaler"
"2.73660274843396","Downscaler"
"5.27814384315703","Downscaler"
"6.20738188174835","Downscaler"
"6.01110491695764","Downscaler"
"7.27255815901254","Downscaler"
"6.20146674263334","Downscaler"
