"mse_meld","mse_down"
4.15987277253726,4.91515550089925
3.83124324771717,4.97848062332486
4.06694949286036,4.84431306956759
3.82306268307246,4.81134162201422
3.81055185850006,4.02791516627261
3.43967240268393,3.82977078860717
3.87373220061299,5.49288477106289
4.2338564832738,6.45864948059612
4.35829220626367,5.30716507280547
4.25747075490116,4.59913415945015
3.94989544058472,5.77272798910675
4.26447486087995,5.43986186756617
4.31760320391727,7.77253215253227
3.75967657997229,3.97900698615579
3.98533925606202,6.15336625546852
4.01565550424704,5.94894108620442
3.79204026297775,4.91732481604688
4.00617869482366,5.44379096764444
4.10554950023177,4.17287028155581
4.23828380617661,6.38166906442434
3.99046152778237,6.62601464610118
3.84409964169936,4.45252657908922
4.49742318861483,5.02347728346141
3.79485265307395,6.52834351290651
4.1336557497546,10.4452571291606
3.78982772857042,4.27265221209101
3.84957802804429,4.72165685666004
4.19543907883753,4.85142353287866
3.8985712025313,6.85549974936414
3.88143898709074,4.88641503328416
3.99407240434049,7.5514392254676
4.06074514824114,4.83737519143796
3.99013197001333,4.65005760842657
4.0731338551322,8.05965394382775
4.29179186736054,11.2064012375832
4.71797558037087,4.66968084219018
3.68379037855271,5.2655479632865
4.00886091600873,4.48722898465154
3.68739471134087,4.4179490233197
3.67212768339237,4.45575343624543
3.91784054779254,6.37699377005515
3.67000379217671,4.32858864864018
3.77049136060137,8.8366482970225
3.81483201661238,5.56100064450319
4.05593901118746,5.26873167914354
3.99502168521614,4.90954315756087
3.61001935278146,3.97834732903629
3.86029182907953,4.50687465766973
4.22556491860504,5.31047724144465
4.29641880256216,7.1723331739827
4.19384193963071,4.88652248160181
3.79157824188687,4.59994728138556
3.60629140682136,3.86954151921255
4.03149504311147,5.74286271231077
3.71307645583941,4.27528552393411
3.79241876078442,5.00325338456362
4.16924709276808,4.39039925397189
4.2037314821571,4.79165206005001
3.9854070465799,5.02206591071693
3.84059450817055,4.88497901743472
3.84135372698123,4.85678386649086
4.15453443752458,4.74050369907612
3.89031757691954,4.66958071738861
4.11115551342695,4.93915016843473
4.10371264473263,4.87297141121189
4.06838356422582,4.90651399248266
3.75246558850368,4.9902781303464
3.86601713053487,4.8670900148964
3.9423369595058,4.92480907100378
4.07913722758898,5.80142581100954
3.92711221781991,5.17387514085467
3.94050448732689,6.28374144183459
4.01217641489856,8.0843490581038
3.82279242059805,4.95531844388571
4.00562805070618,14.1207819736757
3.78495541873243,5.59244288297413
3.96081248015147,7.55013744159579
3.88053398853128,4.18494131958033
3.92345916458459,4.45225460747321
3.73839763664302,6.00515099554402
3.92420036168781,4.28171514786997
3.93895212596791,4.87908557694963
3.94028808606644,4.30326104835468
4.11828937156225,4.20447347707531
3.69012420692603,9.65270925543962
4.23405697277157,8.29583823691029
4.12790135620738,8.8503314034643
4.05630371664858,6.93564144374592
4.03427015159082,6.8753286725315
4.93427809032097,6.18941696017792
3.84540183787368,5.36437876410323
3.7847981497554,5.04204224112446
3.79976393062096,5.04633650453506
3.69825956839298,4.8204427850691
4.09580726421169,5.06920274003979
3.852165098669,4.9108511359387
3.85635261921314,5.78008463393528
3.82879768669368,3.83475026768861
4.19295787169654,4.67639933096802
4.10214339917723,4.55264539633185
