"MSE","Model"
"0.977222640164587","Meld"
"0.998293739492743","Meld"
"0.978726404075443","Meld"
"1.00874420035446","Meld"
"1.04604441550846","Meld"
"0.925988633778353","Meld"
"1.00555367577393","Meld"
"1.0404392062302","Meld"
"1.00341334658664","Meld"
"1.01443040967784","Meld"
"0.989943942399334","Meld"
"0.995196712263903","Meld"
"0.987187440963282","Meld"
"0.979872189401166","Meld"
"1.03114111058489","Meld"
"1.01071020223492","Meld"
"0.98379928381586","Meld"
"0.944675027730257","Meld"
"1.00341698147915","Meld"
"0.956568777751884","Meld"
"0.957824807422649","Meld"
"0.973650088160606","Meld"
"0.980442880481425","Meld"
"1.02759352739395","Meld"
"1.01816200119846","Meld"
"0.971364118010057","Meld"
"1.00857772552934","Meld"
"0.978426502767117","Meld"
"1.02343954814139","Meld"
"0.97962891863252","Meld"
"1.00562667285971","Meld"
"0.97026338697565","Meld"
"0.955441431739802","Meld"
"1.0107481870025","Meld"
"0.968473287485307","Meld"
"0.984824523841522","Meld"
"0.987553161240889","Meld"
"1.00363856808532","Meld"
"0.957316672060767","Meld"
"0.966239672745397","Meld"
"1.02032051144174","Meld"
"0.977276149459796","Meld"
"1.02268068334595","Meld"
"0.998468687873624","Meld"
"0.988704319657458","Meld"
"0.980623168978251","Meld"
"0.970593659178325","Meld"
"0.959940603057329","Meld"
"0.997812189997022","Meld"
"1.00281958370691","Meld"
"1.01325590301085","Meld"
"0.991564551386828","Meld"
"0.984972622627097","Meld"
"1.01681630957289","Meld"
"0.958969341615569","Meld"
"1.01735683102319","Meld"
"0.934398751300112","Meld"
"0.979517926885769","Meld"
"1.03421767529589","Meld"
"0.976955208925682","Meld"
"1.03929423848012","Meld"
"0.989916831025615","Meld"
"1.03727379968076","Meld"
"0.963837822938811","Meld"
"0.99122199528816","Meld"
"1.00687697126774","Meld"
"1.0048092099395","Meld"
"1.04148692495343","Meld"
"1.02524054513444","Meld"
"1.01956541454046","Meld"
"0.964576999378493","Meld"
"1.02696199037449","Meld"
"1.96112482799696","Meld"
"0.958380528863681","Meld"
"0.941734237279241","Meld"
"1.01255336393612","Meld"
"0.962155682854504","Meld"
"1.02274650192156","Meld"
"1.07925618970838","Meld"
"0.966288858551777","Meld"
"1.00295971926092","Meld"
"0.995701539466666","Meld"
"0.999106571728414","Meld"
"0.959424892213014","Meld"
"0.981669525953041","Meld"
"1.01179198179708","Meld"
"0.934034052223726","Meld"
"1.00997381961042","Meld"
"1.01786603826698","Meld"
"1.01030779140451","Meld"
"1.03696674341576","Meld"
"1.00054374440476","Meld"
"1.05472650330682","Meld"
"1.00323384905704","Meld"
"0.952106265830933","Meld"
"0.971255971875397","Meld"
"1.03867210967078","Meld"
"0.923051044500694","Meld"
"1.00460780068246","Meld"
"0.965348540807147","Meld"
"1.310830290292","Downscaler"
"1.82332638428721","Downscaler"
"1.28975224648117","Downscaler"
"1.16699707198602","Downscaler"
"1.71995975768939","Downscaler"
"1.31135657729599","Downscaler"
"1.12398390859182","Downscaler"
"1.67871436959795","Downscaler"
"1.28901580466701","Downscaler"
"1.76182205318259","Downscaler"
"1.66473257882973","Downscaler"
"1.4278906260856","Downscaler"
"1.41783757204137","Downscaler"
"2.56966858865508","Downscaler"
"1.34420600414503","Downscaler"
"1.8516756019266","Downscaler"
"1.315685372033","Downscaler"
"1.447767947699","Downscaler"
"1.04913801464848","Downscaler"
"1.16534488729616","Downscaler"
"1.18737303481886","Downscaler"
"1.10735299957505","Downscaler"
"1.2542996803364","Downscaler"
"1.03919396545008","Downscaler"
"1.17665747291908","Downscaler"
"1.11214679009067","Downscaler"
"1.32206551554238","Downscaler"
"2.18750817141747","Downscaler"
"1.985978314758","Downscaler"
"2.1151169656766","Downscaler"
"2.00566273944901","Downscaler"
"1.16205998568126","Downscaler"
"1.0015911804171","Downscaler"
"1.11487653589977","Downscaler"
"1.77526821449168","Downscaler"
"0.998790680848101","Downscaler"
"1.63415332050182","Downscaler"
"1.32851545280189","Downscaler"
"1.40751728259445","Downscaler"
"1.08813509715955","Downscaler"
"1.58112237354558","Downscaler"
"1.38662907621817","Downscaler"
"1.68498678065436","Downscaler"
"1.01698120425165","Downscaler"
"1.02083177898873","Downscaler"
"1.92188735333255","Downscaler"
"1.0834584488209","Downscaler"
"1.34336239698265","Downscaler"
"1.28934777969222","Downscaler"
"1.35426124436714","Downscaler"
"2.32547980779792","Downscaler"
"1.35073702417051","Downscaler"
"2.13546795211113","Downscaler"
"1.15589111439588","Downscaler"
"1.2143704177344","Downscaler"
"1.09160074577685","Downscaler"
"1.12249916689035","Downscaler"
"1.25591265839892","Downscaler"
"1.12538117439668","Downscaler"
"1.11990253625169","Downscaler"
"2.42221562140568","Downscaler"
"1.27818657382359","Downscaler"
"1.42252752374412","Downscaler"
"1.05764142920104","Downscaler"
"1.1160291876008","Downscaler"
"1.19570219618672","Downscaler"
"1.02463521170481","Downscaler"
"2.12442025471359","Downscaler"
"1.80150673602449","Downscaler"
"1.28891288893394","Downscaler"
"1.50227916952351","Downscaler"
"1.24432875901386","Downscaler"
"3.1156819552493","Downscaler"
"1.98775219831757","Downscaler"
"1.19792201983547","Downscaler"
"1.26944195618978","Downscaler"
"1.67273906283503","Downscaler"
"1.22928462018424","Downscaler"
"1.13278598812083","Downscaler"
"1.44381182885755","Downscaler"
"1.17372895667016","Downscaler"
"1.07594638920901","Downscaler"
"1.1379956909534","Downscaler"
"1.25704011496136","Downscaler"
"1.69450826950636","Downscaler"
"1.38258644026818","Downscaler"
"2.23411706364854","Downscaler"
"1.57870506344497","Downscaler"
"1.40486829962399","Downscaler"
"2.32621874080734","Downscaler"
"1.12519154210333","Downscaler"
"1.52616606471607","Downscaler"
"2.18187318061422","Downscaler"
"1.04791781641073","Downscaler"
"1.30765232567387","Downscaler"
"1.03551564753526","Downscaler"
"1.2874611078941","Downscaler"
"0.990748727351617","Downscaler"
"1.72576316184362","Downscaler"
"1.15729915300435","Downscaler"
