"MSE","Model"
"3.59920698160747","Meld"
"3.61231604792926","Meld"
"3.5002255566333","Meld"
"3.53977067947674","Meld"
"3.80545900942903","Meld"
"3.70388757189245","Meld"
"5.32479625031359","Meld"
"3.41953474846785","Meld"
"3.68666746639082","Meld"
"3.77031301885766","Meld"
"3.87087913197621","Meld"
"3.597215172213","Meld"
"3.67016350337255","Meld"
"3.68188255799157","Meld"
"3.73945160072272","Meld"
"3.60493240993295","Meld"
"3.64777766858013","Meld"
"3.57231222683421","Meld"
"3.55065481399219","Meld"
"3.69992485196513","Meld"
"3.59861747960308","Meld"
"3.49298030076328","Meld"
"3.52352324138048","Meld"
"3.66346145994071","Meld"
"3.55947885071315","Meld"
"3.51959950829544","Meld"
"3.59742176332397","Meld"
"3.55967389186184","Meld"
"3.52617595276153","Meld"
"3.5561038059071","Meld"
"3.57059189469524","Meld"
"3.71954151061299","Meld"
"4.99390235993979","Meld"
"3.41260790237928","Meld"
"3.66459128910193","Meld"
"3.51357794996504","Meld"
"3.61769943532599","Meld"
"3.83454782327516","Meld"
"3.55723104125712","Meld"
"3.53172851659104","Meld"
"3.63137812168126","Meld"
"3.59296153340138","Meld"
"5.10559254298718","Meld"
"3.43409881904474","Meld"
"3.58824695447464","Meld"
"3.69712978162083","Meld"
"3.66702853301395","Meld"
"3.39469087273704","Meld"
"3.64113564583941","Meld"
"3.58795578993144","Meld"
"3.64419557625396","Meld"
"3.51321567285025","Meld"
"3.52180916626836","Meld"
"3.67490261733896","Meld"
"3.5799045751163","Meld"
"3.70150212044372","Meld"
"3.61870883242072","Meld"
"3.63180855518898","Meld"
"3.38781495300044","Meld"
"3.51789073025917","Meld"
"3.60069692090841","Meld"
"3.63823954313518","Meld"
"3.70697623527782","Meld"
"3.73372323701206","Meld"
"3.49584999018422","Meld"
"3.84722444004296","Meld"
"3.46463918548553","Meld"
"3.48164763261479","Meld"
"3.93379926592853","Meld"
"3.5609395563094","Meld"
"3.59069840453743","Meld"
"3.69992972985646","Meld"
"3.50196682907552","Meld"
"3.691065460411","Meld"
"3.48825035070544","Meld"
"3.5194545830713","Meld"
