"true","meld","down"
11.8266984359948,10.1619317286047,10.3324433337539
11.8552067791383,10.2782775491151,10.3292924064402
11.5369292461894,10.3854383533222,10.3304853886679
10.8844847330899,10.4603450112528,10.3379668346176
10.5202694321155,10.5193772698919,10.359068198046
10.4182084929216,10.5557459189399,10.3873443574536
10.2977389295213,10.6203810911715,10.4320321443887
10.2110992255373,10.7347116918772,10.5029964840768
9.91670976441802,10.8856571993981,10.6114993231426
10.0038989222315,11.0598610815251,10.7482628527333
10.137678078998,11.2837512185682,10.9542842761944
10.7006506263443,11.5467853915391,11.2264258542532
11.263611553337,11.866367229689,11.5507193756024
11.8516749693171,12.160012265256,11.8861689395784
12.2039709612307,12.4420797028334,12.231677275741
12.1316524458776,12.6025864275263,12.4897032912874
11.8926950493043,12.2479160475269,12.256002330172
11.167497117916,11.7523574414021,11.9171784086377
10.370659887369,11.1450653220834,11.5273251072266
9.19521515704585,10.5261693461169,11.1174501373569
8.29850919076665,9.9420908170619,10.7580399883361
7.49250059100445,9.44716926304817,10.4744204838449
6.72732771402642,9.01557214691361,10.2372640432436
5.73059386323366,8.70989385951009,10.1034777497427
4.6487953810113,8.51007905871599,10.0461326192357
4.42178427613007,8.38585903538333,11.5677909548853
5.0290847730665,8.32314757050254,11.5864420789119
6.4268561042454,8.32570512117153,11.6406915084553
7.38664986304902,8.3665243458781,11.7091856073467
7.96753956267601,8.41186197637324,11.7700367135667
8.20259851119452,8.48262326022019,11.8261785260155
8.63327700499184,8.53940744872792,11.8662678240287
9.26535432570637,8.60964459229907,11.8953866682298
9.69766933782407,8.66026795070029,11.907173030113
10.0416925194688,8.68494211979069,11.9050012366523
9.93456005666335,8.71004780610017,11.896412539173
9.90807158637887,8.72089348492482,11.877615083497
9.64830566893992,8.70315952361038,11.8537382963331
9.55280185114338,8.65513793268426,11.8328148520326
9.26756561327055,8.57043290873837,11.8145815117781
8.81419849989454,8.45050118440108,11.800380904032
8.32092273405042,8.29015494579175,11.7948082380559
7.84419334176456,8.10797348110779,11.7924638585024
7.69851984060834,7.93907332814303,11.7940875774105
7.20189902452911,7.75663289573848,11.8001960311643
6.66458495949172,7.59415342695161,11.8079947916771
6.10408252880859,7.44701288789357,11.8168818190442
6.45785480725485,7.31738975068146,11.8271748742147
7.50858354450964,7.22456907940448,11.8366234596796
8.74972896810582,7.17494347927249,11.8446286904303
11.544806586162,10.0784194926609,10.3020325099674
11.5356517349373,10.2223146850856,10.2892636056965
11.022406530467,10.3399272632154,10.2820556008615
10.4313281703489,10.4067557193355,10.2836408876704
10.0096024604497,10.4114161095396,10.2938432425398
9.93217680377402,10.4061771237113,10.315678876267
9.75347694985625,10.4481902506954,10.3516601970443
9.94137717152228,10.5079980356894,10.3992151640101
10.0565905528097,10.6500297652596,10.4899744764916
10.303691886259,10.8100589720709,10.6140189143885
10.3297295151698,11.0080598347918,10.8223449180004
10.6335335327295,11.2549074222812,11.0921118582785
11.4280484876435,11.5477699137963,11.416574347889
12.3049000612359,11.8880534917242,11.8004734077278
12.9103123350055,12.2360089264401,12.1966082385231
12.6440676452866,12.424815127795,12.4837778223647
12.2114468482368,12.0581614775093,12.2147956109651
11.5022334164322,11.5363391666612,11.8298811927189
10.8950059624997,10.905575333641,11.3660434222351
9.9878213441636,10.2840607760738,10.9241553887916
8.98486103107739,9.70620826517942,10.5288742190294
7.9474806715256,9.22713300609979,10.2223982989212
6.6505230490483,8.83369079547984,9.99224216445465
5.35894730840685,8.57161816387998,9.87635993745097
4.07883288202276,8.3896309454712,9.83843537388308
